Pkey,Year,Quarter,Year ending,Main accommodation used,Total visitors
835,2014,2,YEJun 2014,  Yacht or other boat,4362
836,2014,2,YEJun 2014,"  Youth Hostel, YMCA, YWCA",107967
837,2015,2,YEJun 2015,  A house you own,5723
838,2015,2,YEJun 2015,  Another place where you pay to park a caravan or campervan / motorhome overnight,3226
839,2015,2,YEJun 2015,  Backpackers,91650
840,2015,2,YEJun 2015,  Bed and Breakfast,68273
841,2015,2,YEJun 2015,  Camping at a National Park / Department of Conservation camping ground,23554
842,2015,2,YEJun 2015,  Farm-stay or Home-stay,19642
843,2015,2,YEJun 2015,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",2750
844,2015,2,YEJun 2015,  Hotel,543393
845,2015,2,YEJun 2015,  House / flat that you paid some rent for,135278
846,2015,2,YEJun 2015,  In a hut at a National Park / Department of Conservation area,15804
847,2015,2,YEJun 2015,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",184108
848,2015,2,YEJun 2015,  Marae,2100
849,2015,2,YEJun 2015,"  Motel, Motor Inn or Serviced Apartment",373625
850,2015,2,YEJun 2015,  NOT SURE,44310
851,2015,2,YEJun 2015,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",105612
852,2015,2,YEJun 2015,  Other,834
853,2015,2,YEJun 2015,  Private Hotel / Guesthouse,24873
854,2015,2,YEJun 2015,  Staying with family or friends,808792
855,2015,2,YEJun 2015,  Student residence,4984
856,2015,2,YEJun 2015,  Unknown,196218
857,2015,2,YEJun 2015,  Yacht or other boat,1721
858,2015,2,YEJun 2015,"  Youth Hostel, YMCA, YWCA",42884
859,2016,2,YEJun 2016,  A house you own,45726
860,2016,2,YEJun 2016,  Another place where you pay to park a caravan or campervan / motorhome overnight,14084
861,2016,2,YEJun 2016,  Backpackers,92782
862,2016,2,YEJun 2016,  Bed and Breakfast,101591
863,2016,2,YEJun 2016,  Camping at a National Park / Department of Conservation camping ground,24194
864,2016,2,YEJun 2016,  Farm-stay or Home-stay,21432
865,2016,2,YEJun 2016,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",23387
866,2016,2,YEJun 2016,  Hotel,781481
867,2016,2,YEJun 2016,  House / flat that you paid some rent for,135233
868,2016,2,YEJun 2016,  In a hut at a National Park / Department of Conservation area,16717
869,2016,2,YEJun 2016,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",172840
870,2016,2,YEJun 2016,  Marae,3622
871,2016,2,YEJun 2016,"  Motel, Motor Inn or Serviced Apartment",418466
872,2016,2,YEJun 2016,  NOT SURE,56848
873,2016,2,YEJun 2016,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",107840
874,2016,2,YEJun 2016,  Other,
875,2016,2,YEJun 2016,  Private Hotel / Guesthouse,25438
876,2016,2,YEJun 2016,  Staying with family or friends,857698
877,2016,2,YEJun 2016,  Student residence,13119
878,2016,2,YEJun 2016,  Unknown,27662
879,2016,2,YEJun 2016,  Yacht or other boat,4956
880,2016,2,YEJun 2016,"  Youth Hostel, YMCA, YWCA",49919
881,2017,2,YEJun 2017,  A house you own,54540
882,2017,2,YEJun 2017,  Another place where you pay to park a caravan or campervan / motorhome overnight,17970
883,2017,2,YEJun 2017,  Backpackers,108861
884,2017,2,YEJun 2017,  Bed and Breakfast,119884
885,2017,2,YEJun 2017,  Camping at a National Park / Department of Conservation camping ground,45569
886,2017,2,YEJun 2017,  Farm-stay or Home-stay,29105
887,2017,2,YEJun 2017,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",23479
888,2017,2,YEJun 2017,  Hotel,816446
889,2017,2,YEJun 2017,  House / flat that you paid some rent for,183026
890,2017,2,YEJun 2017,  In a hut at a National Park / Department of Conservation area,8691
891,2017,2,YEJun 2017,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",155828
892,2017,2,YEJun 2017,  Marae,1900
893,2017,2,YEJun 2017,"  Motel, Motor Inn or Serviced Apartment",457779
894,2017,2,YEJun 2017,  NOT SURE,56485
895,2017,2,YEJun 2017,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",123065
896,2017,2,YEJun 2017,  Other,
897,2017,2,YEJun 2017,  Private Hotel / Guesthouse,53159
898,2017,2,YEJun 2017,  Staying with family or friends,886727
899,2017,2,YEJun 2017,  Student residence,7892
900,2017,2,YEJun 2017,  Unknown,23998
901,2017,2,YEJun 2017,  Yacht or other boat,4973
902,2017,2,YEJun 2017,"  Youth Hostel, YMCA, YWCA",55028
903,1998,1,YEMar 1998,  A house you own,
904,1998,1,YEMar 1998,  Another place where you pay to park a caravan or campervan / motorhome overnight,
905,1998,1,YEMar 1998,  Backpackers,102760
906,1998,1,YEMar 1998,  Bed and Breakfast,
907,1998,1,YEMar 1998,  Camping at a National Park / Department of Conservation camping ground,
908,1998,1,YEMar 1998,  Farm-stay or Home-stay,26516
909,1998,1,YEMar 1998,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",3364
910,1998,1,YEMar 1998,  Hotel,550577
911,1998,1,YEMar 1998,  House / flat that you paid some rent for,12574
912,1998,1,YEMar 1998,  In a hut at a National Park / Department of Conservation area,6106
913,1998,1,YEMar 1998,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",13259
914,1998,1,YEMar 1998,  Marae,
915,1998,1,YEMar 1998,"  Motel, Motor Inn or Serviced Apartment",209387
916,1998,1,YEMar 1998,  NOT SURE,14956
917,1998,1,YEMar 1998,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",54961
918,1998,1,YEMar 1998,  Other,
919,1998,1,YEMar 1998,  Private Hotel / Guesthouse,
920,1998,1,YEMar 1998,  Staying with family or friends,311184
921,1998,1,YEMar 1998,  Student residence,13289
922,1998,1,YEMar 1998,  Unknown,
923,1998,1,YEMar 1998,  Yacht or other boat,4851
924,1998,1,YEMar 1998,"  Youth Hostel, YMCA, YWCA",
925,1999,1,YEMar 1999,  A house you own,
926,1999,1,YEMar 1999,  Another place where you pay to park a caravan or campervan / motorhome overnight,
927,1999,1,YEMar 1999,  Backpackers,92521
928,1999,1,YEMar 1999,  Bed and Breakfast,
929,1999,1,YEMar 1999,  Camping at a National Park / Department of Conservation camping ground,
930,1999,1,YEMar 1999,  Farm-stay or Home-stay,40089
931,1999,1,YEMar 1999,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",3417
932,1999,1,YEMar 1999,  Hotel,547455
933,1999,1,YEMar 1999,  House / flat that you paid some rent for,9719
934,1999,1,YEMar 1999,  In a hut at a National Park / Department of Conservation area,4892
935,1999,1,YEMar 1999,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",13041
936,1999,1,YEMar 1999,  Marae,
937,1999,1,YEMar 1999,"  Motel, Motor Inn or Serviced Apartment",197080
938,1999,1,YEMar 1999,  NOT SURE,20002
939,1999,1,YEMar 1999,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",61268
940,1999,1,YEMar 1999,  Other,
941,1999,1,YEMar 1999,  Private Hotel / Guesthouse,
942,1999,1,YEMar 1999,  Staying with family or friends,330219
943,1999,1,YEMar 1999,  Student residence,14257
944,1999,1,YEMar 1999,  Unknown,
945,1999,1,YEMar 1999,  Yacht or other boat,11300
946,1999,1,YEMar 1999,"  Youth Hostel, YMCA, YWCA",
947,2000,1,YEMar 2000,  A house you own,
948,2000,1,YEMar 2000,  Another place where you pay to park a caravan or campervan / motorhome overnight,
949,2000,1,YEMar 2000,  Backpackers,101026
950,2000,1,YEMar 2000,  Bed and Breakfast,
951,2000,1,YEMar 2000,  Camping at a National Park / Department of Conservation camping ground,
952,2000,1,YEMar 2000,  Farm-stay or Home-stay,37966
953,2000,1,YEMar 2000,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",5957
954,2000,1,YEMar 2000,  Hotel,642481
955,2000,1,YEMar 2000,  House / flat that you paid some rent for,13350
956,2000,1,YEMar 2000,  In a hut at a National Park / Department of Conservation area,6178
957,2000,1,YEMar 2000,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",16285
958,2000,1,YEMar 2000,  Marae,
959,2000,1,YEMar 2000,"  Motel, Motor Inn or Serviced Apartment",186468
960,2000,1,YEMar 2000,  NOT SURE,13660
961,2000,1,YEMar 2000,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",69266
962,2000,1,YEMar 2000,  Other,
963,2000,1,YEMar 2000,  Private Hotel / Guesthouse,
964,2000,1,YEMar 2000,  Staying with family or friends,347766
965,2000,1,YEMar 2000,  Student residence,14739
966,2000,1,YEMar 2000,  Unknown,
967,2000,1,YEMar 2000,  Yacht or other boat,11011
968,2000,1,YEMar 2000,"  Youth Hostel, YMCA, YWCA",
969,2001,1,YEMar 2001,  A house you own,
970,2001,1,YEMar 2001,  Another place where you pay to park a caravan or campervan / motorhome overnight,
971,2001,1,YEMar 2001,  Backpackers,115839
972,2001,1,YEMar 2001,  Bed and Breakfast,
973,2001,1,YEMar 2001,  Camping at a National Park / Department of Conservation camping ground,
974,2001,1,YEMar 2001,  Farm-stay or Home-stay,52806
975,2001,1,YEMar 2001,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",3277
976,2001,1,YEMar 2001,  Hotel,702829
977,2001,1,YEMar 2001,  House / flat that you paid some rent for,13096
978,2001,1,YEMar 2001,  In a hut at a National Park / Department of Conservation area,6670
979,2001,1,YEMar 2001,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",21757
980,2001,1,YEMar 2001,  Marae,
981,2001,1,YEMar 2001,"  Motel, Motor Inn or Serviced Apartment",205129
982,2001,1,YEMar 2001,  NOT SURE,10798
983,2001,1,YEMar 2001,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",74567
984,2001,1,YEMar 2001,  Other,
985,2001,1,YEMar 2001,  Private Hotel / Guesthouse,
986,2001,1,YEMar 2001,  Staying with family or friends,368448
987,2001,1,YEMar 2001,  Student residence,16427
988,2001,1,YEMar 2001,  Unknown,
989,2001,1,YEMar 2001,  Yacht or other boat,11508
990,2001,1,YEMar 2001,"  Youth Hostel, YMCA, YWCA",
991,2002,1,YEMar 2002,  A house you own,
992,2002,1,YEMar 2002,  Another place where you pay to park a caravan or campervan / motorhome overnight,
993,2002,1,YEMar 2002,  Backpackers,124072
994,2002,1,YEMar 2002,  Bed and Breakfast,
995,2002,1,YEMar 2002,  Camping at a National Park / Department of Conservation camping ground,
996,2002,1,YEMar 2002,  Farm-stay or Home-stay,49976
997,2002,1,YEMar 2002,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",5676
998,2002,1,YEMar 2002,  Hotel,711180
999,2002,1,YEMar 2002,  House / flat that you paid some rent for,23628
1000,2002,1,YEMar 2002,  In a hut at a National Park / Department of Conservation area,4852
1001,2002,1,YEMar 2002,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",20669
1002,2002,1,YEMar 2002,  Marae,
1003,2002,1,YEMar 2002,"  Motel, Motor Inn or Serviced Apartment",217108
1004,2002,1,YEMar 2002,  NOT SURE,12437
1005,2002,1,YEMar 2002,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",63162
1006,2002,1,YEMar 2002,  Other,
1007,2002,1,YEMar 2002,  Private Hotel / Guesthouse,
1008,2002,1,YEMar 2002,  Staying with family or friends,386802
1009,2002,1,YEMar 2002,  Student residence,19342
1010,2002,1,YEMar 2002,  Unknown,
1011,2002,1,YEMar 2002,  Yacht or other boat,14662
1012,2002,1,YEMar 2002,"  Youth Hostel, YMCA, YWCA",
1013,2003,1,YEMar 2003,  A house you own,
1014,2003,1,YEMar 2003,  Another place where you pay to park a caravan or campervan / motorhome overnight,
1015,2003,1,YEMar 2003,  Backpackers,145210
1016,2003,1,YEMar 2003,  Bed and Breakfast,
1017,2003,1,YEMar 2003,  Camping at a National Park / Department of Conservation camping ground,
1018,2003,1,YEMar 2003,  Farm-stay or Home-stay,54225
1019,2003,1,YEMar 2003,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",5621
1020,2003,1,YEMar 2003,  Hotel,711031
1021,2003,1,YEMar 2003,  House / flat that you paid some rent for,27220
1022,2003,1,YEMar 2003,  In a hut at a National Park / Department of Conservation area,9643
1023,2003,1,YEMar 2003,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",21653
1024,2003,1,YEMar 2003,  Marae,
1025,2003,1,YEMar 2003,"  Motel, Motor Inn or Serviced Apartment",229395
1026,2003,1,YEMar 2003,  NOT SURE,14474
1027,2003,1,YEMar 2003,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",85644
1028,2003,1,YEMar 2003,  Other,
1029,2003,1,YEMar 2003,  Private Hotel / Guesthouse,
1030,2003,1,YEMar 2003,  Staying with family or friends,450132
1031,2003,1,YEMar 2003,  Student residence,24833
1032,2003,1,YEMar 2003,  Unknown,
1033,2003,1,YEMar 2003,  Yacht or other boat,18565
1034,2003,1,YEMar 2003,"  Youth Hostel, YMCA, YWCA",
1035,2004,1,YEMar 2004,  A house you own,
1036,2004,1,YEMar 2004,  Another place where you pay to park a caravan or campervan / motorhome overnight,
1037,2004,1,YEMar 2004,  Backpackers,179819
1038,2004,1,YEMar 2004,  Bed and Breakfast,
1039,2004,1,YEMar 2004,  Camping at a National Park / Department of Conservation camping ground,
1040,2004,1,YEMar 2004,  Farm-stay or Home-stay,57616
1041,2004,1,YEMar 2004,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",2568
1042,2004,1,YEMar 2004,  Hotel,709806
1043,2004,1,YEMar 2004,  House / flat that you paid some rent for,29156
1044,2004,1,YEMar 2004,  In a hut at a National Park / Department of Conservation area,8422
1045,2004,1,YEMar 2004,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",19083
1046,2004,1,YEMar 2004,  Marae,
1047,2004,1,YEMar 2004,"  Motel, Motor Inn or Serviced Apartment",251403
1048,2004,1,YEMar 2004,  NOT SURE,24851
1049,2004,1,YEMar 2004,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",82081
1050,2004,1,YEMar 2004,  Other,
1051,2004,1,YEMar 2004,  Private Hotel / Guesthouse,
1052,2004,1,YEMar 2004,  Staying with family or friends,525773
1053,2004,1,YEMar 2004,  Student residence,12577
1054,2004,1,YEMar 2004,  Unknown,
1055,2004,1,YEMar 2004,  Yacht or other boat,8544
1056,2004,1,YEMar 2004,"  Youth Hostel, YMCA, YWCA",
1057,2005,1,YEMar 2005,  A house you own,
1058,2005,1,YEMar 2005,  Another place where you pay to park a caravan or campervan / motorhome overnight,
1059,2005,1,YEMar 2005,  Backpackers,183776
1060,2005,1,YEMar 2005,  Bed and Breakfast,32161
1061,2005,1,YEMar 2005,  Camping at a National Park / Department of Conservation camping ground,1135
1062,2005,1,YEMar 2005,  Farm-stay or Home-stay,26360
1063,2005,1,YEMar 2005,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",5850
1064,2005,1,YEMar 2005,  Hotel,770835
1065,2005,1,YEMar 2005,  House / flat that you paid some rent for,28032
1066,2005,1,YEMar 2005,  In a hut at a National Park / Department of Conservation area,7804
1067,2005,1,YEMar 2005,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",28672
1068,2005,1,YEMar 2005,  Marae,923
1069,2005,1,YEMar 2005,"  Motel, Motor Inn or Serviced Apartment",284404
1070,2005,1,YEMar 2005,  NOT SURE,39960
1071,2005,1,YEMar 2005,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",87211
1072,2005,1,YEMar 2005,  Other,
1073,2005,1,YEMar 2005,  Private Hotel / Guesthouse,4881
1074,2005,1,YEMar 2005,  Staying with family or friends,592472
1075,2005,1,YEMar 2005,  Student residence,2817
1076,2005,1,YEMar 2005,  Unknown,
1077,2005,1,YEMar 2005,  Yacht or other boat,19125
1078,2005,1,YEMar 2005,"  Youth Hostel, YMCA, YWCA",694
1079,2006,1,YEMar 2006,  A house you own,
1080,2006,1,YEMar 2006,  Another place where you pay to park a caravan or campervan / motorhome overnight,
1081,2006,1,YEMar 2006,  Backpackers,165980
1082,2006,1,YEMar 2006,  Bed and Breakfast,47863
1083,2006,1,YEMar 2006,  Camping at a National Park / Department of Conservation camping ground,1757
1084,2006,1,YEMar 2006,  Farm-stay or Home-stay,20001
1085,2006,1,YEMar 2006,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",10540
1086,2006,1,YEMar 2006,  Hotel,744049
1087,2006,1,YEMar 2006,  House / flat that you paid some rent for,27854
1088,2006,1,YEMar 2006,  In a hut at a National Park / Department of Conservation area,5620
1089,2006,1,YEMar 2006,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",29779
1090,2006,1,YEMar 2006,  Marae,1312
1091,2006,1,YEMar 2006,"  Motel, Motor Inn or Serviced Apartment",313765
1092,2006,1,YEMar 2006,  NOT SURE,41805
1093,2006,1,YEMar 2006,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",82174
1094,2006,1,YEMar 2006,  Other,
1095,2006,1,YEMar 2006,  Private Hotel / Guesthouse,14174
1096,2006,1,YEMar 2006,  Staying with family or friends,598273
1097,2006,1,YEMar 2006,  Student residence,3160
1098,2006,1,YEMar 2006,  Unknown,
1099,2006,1,YEMar 2006,  Yacht or other boat,15604
1100,2006,1,YEMar 2006,"  Youth Hostel, YMCA, YWCA",1325
1101,2007,1,YEMar 2007,  A house you own,
1102,2007,1,YEMar 2007,  Another place where you pay to park a caravan or campervan / motorhome overnight,
1103,2007,1,YEMar 2007,  Backpackers,159527
1104,2007,1,YEMar 2007,  Bed and Breakfast,44319
1105,2007,1,YEMar 2007,  Camping at a National Park / Department of Conservation camping ground,3291
1106,2007,1,YEMar 2007,  Farm-stay or Home-stay,17179
1107,2007,1,YEMar 2007,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",11574
1108,2007,1,YEMar 2007,  Hotel,760746
1109,2007,1,YEMar 2007,  House / flat that you paid some rent for,36945
1110,2007,1,YEMar 2007,  In a hut at a National Park / Department of Conservation area,11706
1111,2007,1,YEMar 2007,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",31908
1112,2007,1,YEMar 2007,  Marae,1672
1113,2007,1,YEMar 2007,"  Motel, Motor Inn or Serviced Apartment",296807
1114,2007,1,YEMar 2007,  NOT SURE,27744
1115,2007,1,YEMar 2007,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",93741
1116,2007,1,YEMar 2007,  Other,
1117,2007,1,YEMar 2007,  Private Hotel / Guesthouse,7647
1118,2007,1,YEMar 2007,  Staying with family or friends,639366
1119,2007,1,YEMar 2007,  Student residence,4293
1120,2007,1,YEMar 2007,  Unknown,
1121,2007,1,YEMar 2007,  Yacht or other boat,23156
1122,2007,1,YEMar 2007,"  Youth Hostel, YMCA, YWCA",371
1123,2008,1,YEMar 2008,  A house you own,
1124,2008,1,YEMar 2008,  Another place where you pay to park a caravan or campervan / motorhome overnight,
1125,2008,1,YEMar 2008,  Backpackers,155738
1126,2008,1,YEMar 2008,  Bed and Breakfast,41264
1127,2008,1,YEMar 2008,  Camping at a National Park / Department of Conservation camping ground,7494
1128,2008,1,YEMar 2008,  Farm-stay or Home-stay,14279
1129,2008,1,YEMar 2008,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",11904
1130,2008,1,YEMar 2008,  Hotel,739328
1131,2008,1,YEMar 2008,  House / flat that you paid some rent for,33682
1132,2008,1,YEMar 2008,  In a hut at a National Park / Department of Conservation area,8916
1133,2008,1,YEMar 2008,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",24966
1134,2008,1,YEMar 2008,  Marae,189
1135,2008,1,YEMar 2008,"  Motel, Motor Inn or Serviced Apartment",311916
1136,2008,1,YEMar 2008,  NOT SURE,37967
1137,2008,1,YEMar 2008,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",86479
1138,2008,1,YEMar 2008,  Other,
1139,2008,1,YEMar 2008,  Private Hotel / Guesthouse,13377
1140,2008,1,YEMar 2008,  Staying with family or friends,660957
1141,2008,1,YEMar 2008,  Student residence,4753
1142,2008,1,YEMar 2008,  Unknown,
1143,2008,1,YEMar 2008,  Yacht or other boat,43093
1144,2008,1,YEMar 2008,"  Youth Hostel, YMCA, YWCA",4637
1145,2009,1,YEMar 2009,  A house you own,
1146,2009,1,YEMar 2009,  Another place where you pay to park a caravan or campervan / motorhome overnight,
1147,2009,1,YEMar 2009,  Backpackers,159131
1148,2009,1,YEMar 2009,  Bed and Breakfast,34441
1149,2009,1,YEMar 2009,  Camping at a National Park / Department of Conservation camping ground,3905
1150,2009,1,YEMar 2009,  Farm-stay or Home-stay,13126
1151,2009,1,YEMar 2009,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",13068
1152,2009,1,YEMar 2009,  Hotel,706437
1153,2009,1,YEMar 2009,  House / flat that you paid some rent for,32783
1154,2009,1,YEMar 2009,  In a hut at a National Park / Department of Conservation area,11718
1155,2009,1,YEMar 2009,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",29963
1156,2009,1,YEMar 2009,  Marae,5271
1157,2009,1,YEMar 2009,"  Motel, Motor Inn or Serviced Apartment",281123
1158,2009,1,YEMar 2009,  NOT SURE,38418
1159,2009,1,YEMar 2009,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",74111
1160,2009,1,YEMar 2009,  Other,
1161,2009,1,YEMar 2009,  Private Hotel / Guesthouse,7655
1162,2009,1,YEMar 2009,  Staying with family or friends,684344
1163,2009,1,YEMar 2009,  Student residence,2623
1164,2009,1,YEMar 2009,  Unknown,
1165,2009,1,YEMar 2009,  Yacht or other boat,32241
1166,2009,1,YEMar 2009,"  Youth Hostel, YMCA, YWCA",947
1167,2010,1,YEMar 2010,  A house you own,
1168,2010,1,YEMar 2010,  Another place where you pay to park a caravan or campervan / motorhome overnight,
1169,2010,1,YEMar 2010,  Backpackers,144844
1170,2010,1,YEMar 2010,  Bed and Breakfast,34469
1171,2010,1,YEMar 2010,  Camping at a National Park / Department of Conservation camping ground,8949
1172,2010,1,YEMar 2010,  Farm-stay or Home-stay,14685
1173,2010,1,YEMar 2010,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",17937
1174,2010,1,YEMar 2010,  Hotel,697983
1175,2010,1,YEMar 2010,  House / flat that you paid some rent for,41501
1176,2010,1,YEMar 2010,  In a hut at a National Park / Department of Conservation area,10747
1177,2010,1,YEMar 2010,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",36097
1178,2010,1,YEMar 2010,  Marae,4327
1179,2010,1,YEMar 2010,"  Motel, Motor Inn or Serviced Apartment",275800
1180,2010,1,YEMar 2010,  NOT SURE,51651
1181,2010,1,YEMar 2010,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",77457
1182,2010,1,YEMar 2010,  Other,
1183,2010,1,YEMar 2010,  Private Hotel / Guesthouse,7081
1184,2010,1,YEMar 2010,  Staying with family or friends,742547
1185,2010,1,YEMar 2010,  Student residence,2572
1186,2010,1,YEMar 2010,  Unknown,
1187,2010,1,YEMar 2010,  Yacht or other boat,20695
1188,2010,1,YEMar 2010,"  Youth Hostel, YMCA, YWCA",1858
1189,2011,1,YEMar 2011,  A house you own,
1190,2011,1,YEMar 2011,  Another place where you pay to park a caravan or campervan / motorhome overnight,
1191,2011,1,YEMar 2011,  Backpackers,155310
1192,2011,1,YEMar 2011,  Bed and Breakfast,36487
1193,2011,1,YEMar 2011,  Camping at a National Park / Department of Conservation camping ground,10147
1194,2011,1,YEMar 2011,  Farm-stay or Home-stay,12178
1195,2011,1,YEMar 2011,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",16388
1196,2011,1,YEMar 2011,  Hotel,740266
1197,2011,1,YEMar 2011,  House / flat that you paid some rent for,60393
1198,2011,1,YEMar 2011,  In a hut at a National Park / Department of Conservation area,12754
1199,2011,1,YEMar 2011,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",30400
1200,2011,1,YEMar 2011,  Marae,4915
1201,2011,1,YEMar 2011,"  Motel, Motor Inn or Serviced Apartment",265924
1202,2011,1,YEMar 2011,  NOT SURE,63817
1203,2011,1,YEMar 2011,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",83750
1204,2011,1,YEMar 2011,  Other,
1205,2011,1,YEMar 2011,  Private Hotel / Guesthouse,15029
1206,2011,1,YEMar 2011,  Staying with family or friends,710632
1207,2011,1,YEMar 2011,  Student residence,5614
1208,2011,1,YEMar 2011,  Unknown,
1209,2011,1,YEMar 2011,  Yacht or other boat,19209
1210,2011,1,YEMar 2011,"  Youth Hostel, YMCA, YWCA",2865
1211,2012,1,YEMar 2012,  A house you own,
1212,2012,1,YEMar 2012,  Another place where you pay to park a caravan or campervan / motorhome overnight,
1213,2012,1,YEMar 2012,  Backpackers,141335
1214,2012,1,YEMar 2012,  Bed and Breakfast,43278
1215,2012,1,YEMar 2012,  Camping at a National Park / Department of Conservation camping ground,9121
1216,2012,1,YEMar 2012,  Farm-stay or Home-stay,11143
1217,2012,1,YEMar 2012,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",27321
1218,2012,1,YEMar 2012,  Hotel,727321
1219,2012,1,YEMar 2012,  House / flat that you paid some rent for,50543
1220,2012,1,YEMar 2012,  In a hut at a National Park / Department of Conservation area,11031
1221,2012,1,YEMar 2012,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",31983
1222,2012,1,YEMar 2012,  Marae,2917
1223,2012,1,YEMar 2012,"  Motel, Motor Inn or Serviced Apartment",304029
1224,2012,1,YEMar 2012,  NOT SURE,58373
1225,2012,1,YEMar 2012,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",74182
1226,2012,1,YEMar 2012,  Other,
1227,2012,1,YEMar 2012,  Private Hotel / Guesthouse,9604
1228,2012,1,YEMar 2012,  Staying with family or friends,792424
1229,2012,1,YEMar 2012,  Student residence,5214
1230,2012,1,YEMar 2012,  Unknown,
1231,2012,1,YEMar 2012,  Yacht or other boat,24710
1232,2012,1,YEMar 2012,"  Youth Hostel, YMCA, YWCA",927
1233,2013,1,YEMar 2013,  A house you own,
1234,2013,1,YEMar 2013,  Another place where you pay to park a caravan or campervan / motorhome overnight,
1235,2013,1,YEMar 2013,  Backpackers,129860
1236,2013,1,YEMar 2013,  Bed and Breakfast,31203
1237,2013,1,YEMar 2013,  Camping at a National Park / Department of Conservation camping ground,10295
1238,2013,1,YEMar 2013,  Farm-stay or Home-stay,7898
1239,2013,1,YEMar 2013,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",12276
1240,2013,1,YEMar 2013,  Hotel,776437
1241,2013,1,YEMar 2013,  House / flat that you paid some rent for,66914
1242,2013,1,YEMar 2013,  In a hut at a National Park / Department of Conservation area,11851
1243,2013,1,YEMar 2013,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",42629
1244,2013,1,YEMar 2013,  Marae,3874
1245,2013,1,YEMar 2013,"  Motel, Motor Inn or Serviced Apartment",267402
1246,2013,1,YEMar 2013,  NOT SURE,52066
