Pkey,Year,Quarter,Year ending,Main accommodation used,Total visitors
173,2004,4,YEDec 2004,  Student residence,5884
174,2004,4,YEDec 2004,  Unknown,
175,2004,4,YEDec 2004,  Yacht or other boat,14035
176,2004,4,YEDec 2004,"  Youth Hostel, YMCA, YWCA",
177,2005,4,YEDec 2005,  A house you own,
178,2005,4,YEDec 2005,  Another place where you pay to park a caravan or campervan / motorhome overnight,
179,2005,4,YEDec 2005,  Backpackers,176423
180,2005,4,YEDec 2005,  Bed and Breakfast,42535
181,2005,4,YEDec 2005,  Camping at a National Park / Department of Conservation camping ground,1368
182,2005,4,YEDec 2005,  Farm-stay or Home-stay,22184
183,2005,4,YEDec 2005,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",9294
184,2005,4,YEDec 2005,  Hotel,745990
185,2005,4,YEDec 2005,  House / flat that you paid some rent for,30713
186,2005,4,YEDec 2005,  In a hut at a National Park / Department of Conservation area,7679
187,2005,4,YEDec 2005,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",36654
188,2005,4,YEDec 2005,  Marae,1396
189,2005,4,YEDec 2005,"  Motel, Motor Inn or Serviced Apartment",299697
190,2005,4,YEDec 2005,  NOT SURE,53580
191,2005,4,YEDec 2005,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",85968
192,2005,4,YEDec 2005,  Other,
193,2005,4,YEDec 2005,  Private Hotel / Guesthouse,10210
194,2005,4,YEDec 2005,  Staying with family or friends,589602
195,2005,4,YEDec 2005,  Student residence,1694
196,2005,4,YEDec 2005,  Unknown,
197,2005,4,YEDec 2005,  Yacht or other boat,17376
198,2005,4,YEDec 2005,"  Youth Hostel, YMCA, YWCA",1024
199,2006,4,YEDec 2006,  A house you own,
200,2006,4,YEDec 2006,  Another place where you pay to park a caravan or campervan / motorhome overnight,
201,2006,4,YEDec 2006,  Backpackers,159349
202,2006,4,YEDec 2006,  Bed and Breakfast,50740
203,2006,4,YEDec 2006,  Camping at a National Park / Department of Conservation camping ground,4220
204,2006,4,YEDec 2006,  Farm-stay or Home-stay,17196
205,2006,4,YEDec 2006,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",10510
206,2006,4,YEDec 2006,  Hotel,759211
207,2006,4,YEDec 2006,  House / flat that you paid some rent for,33707
208,2006,4,YEDec 2006,  In a hut at a National Park / Department of Conservation area,7548
209,2006,4,YEDec 2006,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",25511
210,2006,4,YEDec 2006,  Marae,1982
211,2006,4,YEDec 2006,"  Motel, Motor Inn or Serviced Apartment",315743
212,2006,4,YEDec 2006,  NOT SURE,22954
213,2006,4,YEDec 2006,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",92578
214,2006,4,YEDec 2006,  Other,
215,2006,4,YEDec 2006,  Private Hotel / Guesthouse,9209
216,2006,4,YEDec 2006,  Staying with family or friends,604152
217,2006,4,YEDec 2006,  Student residence,3340
218,2006,4,YEDec 2006,  Unknown,
219,2006,4,YEDec 2006,  Yacht or other boat,19806
220,2006,4,YEDec 2006,"  Youth Hostel, YMCA, YWCA",1366
221,2007,4,YEDec 2007,  A house you own,
222,2007,4,YEDec 2007,  Another place where you pay to park a caravan or campervan / motorhome overnight,
