Pkey,Year,Quarter,Year ending,Airport of departure,Purpose of visit,Age band,Total visitor spend,Total visitors
2128,2006,4,YEDec 2006,Christchurch,Visiting friends / relatives,Under 20,2916878.93,2036
2129,2006,4,YEDec 2006,Queenstown,Business,20 - 24,,
2130,2006,4,YEDec 2006,Queenstown,Business,25 - 29,,
2131,2006,4,YEDec 2006,Queenstown,Business,30 - 34,,
2132,2006,4,YEDec 2006,Queenstown,Business,35 - 39,,
2133,2006,4,YEDec 2006,Queenstown,Business,40 - 44,,
2134,2006,4,YEDec 2006,Queenstown,Business,45 - 49,,
2135,2006,4,YEDec 2006,Queenstown,Business,50 - 54,,
2136,2006,4,YEDec 2006,Queenstown,Business,55 - 59,,
2137,2006,4,YEDec 2006,Queenstown,Business,60 - 64,,
2138,2006,4,YEDec 2006,Queenstown,Business,65 - 69,,
2139,2006,4,YEDec 2006,Queenstown,Business,70 - 74,,
2140,2006,4,YEDec 2006,Queenstown,Business,75 or older,,
2141,2006,4,YEDec 2006,Queenstown,Business,Rather not say,,
2142,2006,4,YEDec 2006,Queenstown,Business,Under 20,,
2143,2006,4,YEDec 2006,Queenstown,Holiday / vacation,20 - 24,,
2144,2006,4,YEDec 2006,Queenstown,Holiday / vacation,25 - 29,,
2145,2006,4,YEDec 2006,Queenstown,Holiday / vacation,30 - 34,,
2146,2006,4,YEDec 2006,Queenstown,Holiday / vacation,35 - 39,,
2147,2006,4,YEDec 2006,Queenstown,Holiday / vacation,40 - 44,,
2148,2006,4,YEDec 2006,Queenstown,Holiday / vacation,45 - 49,,
2149,2006,4,YEDec 2006,Queenstown,Holiday / vacation,50 - 54,,
2150,2006,4,YEDec 2006,Queenstown,Holiday / vacation,55 - 59,,
2151,2006,4,YEDec 2006,Queenstown,Holiday / vacation,60 - 64,,
2152,2006,4,YEDec 2006,Queenstown,Holiday / vacation,65 - 69,,
2153,2006,4,YEDec 2006,Queenstown,Holiday / vacation,70 - 74,,
2154,2006,4,YEDec 2006,Queenstown,Holiday / vacation,75 or older,,
2155,2006,4,YEDec 2006,Queenstown,Holiday / vacation,Rather not say,,
2156,2006,4,YEDec 2006,Queenstown,Holiday / vacation,Under 20,,
2157,2006,4,YEDec 2006,Queenstown,Other,20 - 24,,
2158,2006,4,YEDec 2006,Queenstown,Other,25 - 29,,
2159,2006,4,YEDec 2006,Queenstown,Other,30 - 34,,
2160,2006,4,YEDec 2006,Queenstown,Other,35 - 39,,
2161,2006,4,YEDec 2006,Queenstown,Other,40 - 44,,
2162,2006,4,YEDec 2006,Queenstown,Other,45 - 49,,
2163,2006,4,YEDec 2006,Queenstown,Other,50 - 54,,
2164,2006,4,YEDec 2006,Queenstown,Other,55 - 59,,
2165,2006,4,YEDec 2006,Queenstown,Other,60 - 64,,
2166,2006,4,YEDec 2006,Queenstown,Other,65 - 69,,
2167,2006,4,YEDec 2006,Queenstown,Other,70 - 74,,
2168,2006,4,YEDec 2006,Queenstown,Other,75 or older,,
2169,2006,4,YEDec 2006,Queenstown,Other,Rather not say,,
2170,2006,4,YEDec 2006,Queenstown,Other,Under 20,,
2171,2006,4,YEDec 2006,Queenstown,Visiting friends / relatives,20 - 24,,
2172,2006,4,YEDec 2006,Queenstown,Visiting friends / relatives,25 - 29,,
2173,2006,4,YEDec 2006,Queenstown,Visiting friends / relatives,30 - 34,,
2174,2006,4,YEDec 2006,Queenstown,Visiting friends / relatives,35 - 39,,
2175,2006,4,YEDec 2006,Queenstown,Visiting friends / relatives,40 - 44,,
2176,2006,4,YEDec 2006,Queenstown,Visiting friends / relatives,45 - 49,,
2177,2006,4,YEDec 2006,Queenstown,Visiting friends / relatives,50 - 54,,
2178,2006,4,YEDec 2006,Queenstown,Visiting friends / relatives,55 - 59,,
2179,2006,4,YEDec 2006,Queenstown,Visiting friends / relatives,60 - 64,,
2180,2006,4,YEDec 2006,Queenstown,Visiting friends / relatives,65 - 69,,
2181,2006,4,YEDec 2006,Queenstown,Visiting friends / relatives,70 - 74,,
2182,2006,4,YEDec 2006,Queenstown,Visiting friends / relatives,75 or older,,
2183,2006,4,YEDec 2006,Queenstown,Visiting friends / relatives,Rather not say,,
2184,2006,4,YEDec 2006,Queenstown,Visiting friends / relatives,Under 20,,
2185,2006,4,YEDec 2006,Wellington,Business,20 - 24,2134485.52,1226
2186,2006,4,YEDec 2006,Wellington,Business,25 - 29,12426371.56,4628
2187,2006,4,YEDec 2006,Wellington,Business,30 - 34,8788078.47,2424
2188,2006,4,YEDec 2006,Wellington,Business,35 - 39,10785880.59,5277
2189,2006,4,YEDec 2006,Wellington,Business,40 - 44,6789980.63,5446
2190,2006,4,YEDec 2006,Wellington,Business,45 - 49,10613017.36,4673
2191,2006,4,YEDec 2006,Wellington,Business,50 - 54,3207509.19,3092
2192,2006,4,YEDec 2006,Wellington,Business,55 - 59,3782485.11,1478
2193,2006,4,YEDec 2006,Wellington,Business,60 - 64,1938452.46,947
2194,2006,4,YEDec 2006,Wellington,Business,65 - 69,,
2195,2006,4,YEDec 2006,Wellington,Business,70 - 74,,
2196,2006,4,YEDec 2006,Wellington,Business,75 or older,,
2197,2006,4,YEDec 2006,Wellington,Business,Rather not say,,
2198,2006,4,YEDec 2006,Wellington,Business,Under 20,,
2199,2006,4,YEDec 2006,Wellington,Holiday / vacation,20 - 24,5723018.49,2714
2200,2006,4,YEDec 2006,Wellington,Holiday / vacation,25 - 29,15949249.45,4471
2201,2006,4,YEDec 2006,Wellington,Holiday / vacation,30 - 34,5509000.33,2751
2202,2006,4,YEDec 2006,Wellington,Holiday / vacation,35 - 39,10033426.83,5480
2203,2006,4,YEDec 2006,Wellington,Holiday / vacation,40 - 44,7333742.51,2175
2204,2006,4,YEDec 2006,Wellington,Holiday / vacation,45 - 49,3313647.12,1584
2205,2006,4,YEDec 2006,Wellington,Holiday / vacation,50 - 54,11008158.09,4062
2206,2006,4,YEDec 2006,Wellington,Holiday / vacation,55 - 59,7792589.31,3764
2207,2006,4,YEDec 2006,Wellington,Holiday / vacation,60 - 64,9833679.14,3505
2208,2006,4,YEDec 2006,Wellington,Holiday / vacation,65 - 69,6686932,2826
2209,2006,4,YEDec 2006,Wellington,Holiday / vacation,70 - 74,1365868.05,668
2210,2006,4,YEDec 2006,Wellington,Holiday / vacation,75 or older,3225399.67,911
2211,2006,4,YEDec 2006,Wellington,Holiday / vacation,Rather not say,506099.71,333
2212,2006,4,YEDec 2006,Wellington,Holiday / vacation,Under 20,1213500.02,724
2213,2006,4,YEDec 2006,Wellington,Other,20 - 24,6206856.2,1642
2214,2006,4,YEDec 2006,Wellington,Other,25 - 29,4401932.4,1929
2215,2006,4,YEDec 2006,Wellington,Other,30 - 34,6278896.82,1690
2216,2006,4,YEDec 2006,Wellington,Other,35 - 39,3542667.81,1729
2217,2006,4,YEDec 2006,Wellington,Other,40 - 44,6694394.26,4640
2218,2006,4,YEDec 2006,Wellington,Other,45 - 49,2850202.66,1294
2219,2006,4,YEDec 2006,Wellington,Other,50 - 54,2894501.77,1605
2220,2006,4,YEDec 2006,Wellington,Other,55 - 59,3355241.62,1170
2221,2006,4,YEDec 2006,Wellington,Other,60 - 64,628114.75,572
2222,2006,4,YEDec 2006,Wellington,Other,65 - 69,480794.14,310
2223,2006,4,YEDec 2006,Wellington,Other,70 - 74,,
2224,2006,4,YEDec 2006,Wellington,Other,75 or older,1083336.37,247
2225,2006,4,YEDec 2006,Wellington,Other,Rather not say,,
2226,2006,4,YEDec 2006,Wellington,Other,Under 20,377724.67,249
2227,2006,4,YEDec 2006,Wellington,Visiting friends / relatives,20 - 24,5600320.34,2351
2228,2006,4,YEDec 2006,Wellington,Visiting friends / relatives,25 - 29,13785966.39,4730
2229,2006,4,YEDec 2006,Wellington,Visiting friends / relatives,30 - 34,3143454.92,2424
2230,2006,4,YEDec 2006,Wellington,Visiting friends / relatives,35 - 39,10537751.5,4035
2231,2006,4,YEDec 2006,Wellington,Visiting friends / relatives,40 - 44,3501330.33,2306
2232,2006,4,YEDec 2006,Wellington,Visiting friends / relatives,45 - 49,9220276.72,5215
2233,2006,4,YEDec 2006,Wellington,Visiting friends / relatives,50 - 54,12520110.2,5534
2234,2006,4,YEDec 2006,Wellington,Visiting friends / relatives,55 - 59,8916409.89,4915
2235,2006,4,YEDec 2006,Wellington,Visiting friends / relatives,60 - 64,8057046.83,2471
2236,2006,4,YEDec 2006,Wellington,Visiting friends / relatives,65 - 69,7774887.43,2631
2237,2006,4,YEDec 2006,Wellington,Visiting friends / relatives,70 - 74,5460957.85,3253
2238,2006,4,YEDec 2006,Wellington,Visiting friends / relatives,75 or older,748827.63,356
2239,2006,4,YEDec 2006,Wellington,Visiting friends / relatives,Rather not say,685090.63,299
2240,2006,4,YEDec 2006,Wellington,Visiting friends / relatives,Under 20,3026015.54,2039
2241,2007,4,YEDec 2007,Auckland,Business,20 - 24,17445062.36,7154
2242,2007,4,YEDec 2007,Auckland,Business,25 - 29,62831513.52,18050
2243,2007,4,YEDec 2007,Auckland,Business,30 - 34,69616668.29,26451
2244,2007,4,YEDec 2007,Auckland,Business,35 - 39,87384778.06,37540
2245,2007,4,YEDec 2007,Auckland,Business,40 - 44,91204818.86,36748
2246,2007,4,YEDec 2007,Auckland,Business,45 - 49,86153816.04,27822
2247,2007,4,YEDec 2007,Auckland,Business,50 - 54,82772067,30223
2248,2007,4,YEDec 2007,Auckland,Business,55 - 59,65333312.74,21913
2249,2007,4,YEDec 2007,Auckland,Business,60 - 64,17524271.39,7340
2250,2007,4,YEDec 2007,Auckland,Business,65 - 69,15534619.19,3202
2251,2007,4,YEDec 2007,Auckland,Business,70 - 74,2455182.91,1247
2252,2007,4,YEDec 2007,Auckland,Business,75 or older,,
2253,2007,4,YEDec 2007,Auckland,Business,Rather not say,,
2254,2007,4,YEDec 2007,Auckland,Business,Under 20,,
2255,2007,4,YEDec 2007,Auckland,Holiday / vacation,20 - 24,301302944.4,89560
2256,2007,4,YEDec 2007,Auckland,Holiday / vacation,25 - 29,352493526.2,86825
2257,2007,4,YEDec 2007,Auckland,Holiday / vacation,30 - 34,289014301,88199
2258,2007,4,YEDec 2007,Auckland,Holiday / vacation,35 - 39,161488458.8,53980
2259,2007,4,YEDec 2007,Auckland,Holiday / vacation,40 - 44,169263219.5,53641
2260,2007,4,YEDec 2007,Auckland,Holiday / vacation,45 - 49,162468424.2,47700
2261,2007,4,YEDec 2007,Auckland,Holiday / vacation,50 - 54,231158847.9,59199
2262,2007,4,YEDec 2007,Auckland,Holiday / vacation,55 - 59,252386649.9,63172
2263,2007,4,YEDec 2007,Auckland,Holiday / vacation,60 - 64,316657611.3,80816
2264,2007,4,YEDec 2007,Auckland,Holiday / vacation,65 - 69,136976971,40323
2265,2007,4,YEDec 2007,Auckland,Holiday / vacation,70 - 74,74264897.17,19707
2266,2007,4,YEDec 2007,Auckland,Holiday / vacation,75 or older,27462806.49,4907
2267,2007,4,YEDec 2007,Auckland,Holiday / vacation,Rather not say,,
2268,2007,4,YEDec 2007,Auckland,Holiday / vacation,Under 20,81580268.26,28146
2269,2007,4,YEDec 2007,Auckland,Other,20 - 24,21265610.78,8854
2270,2007,4,YEDec 2007,Auckland,Other,25 - 29,77758155.47,20955
2271,2007,4,YEDec 2007,Auckland,Other,30 - 34,26716346.96,7608
2272,2007,4,YEDec 2007,Auckland,Other,35 - 39,64153714.3,17109
2273,2007,4,YEDec 2007,Auckland,Other,40 - 44,25735276.09,10841
2274,2007,4,YEDec 2007,Auckland,Other,45 - 49,83701511.76,20995
2275,2007,4,YEDec 2007,Auckland,Other,50 - 54,44225377.47,14806
2276,2007,4,YEDec 2007,Auckland,Other,55 - 59,14053096.7,7210
2277,2007,4,YEDec 2007,Auckland,Other,60 - 64,66160035.84,5935
2278,2007,4,YEDec 2007,Auckland,Other,65 - 69,6948939.17,4362
2279,2007,4,YEDec 2007,Auckland,Other,70 - 74,5814542.55,2063
2280,2007,4,YEDec 2007,Auckland,Other,75 or older,,
2281,2007,4,YEDec 2007,Auckland,Other,Rather not say,,
2282,2007,4,YEDec 2007,Auckland,Other,Under 20,6150286.56,1601
2283,2007,4,YEDec 2007,Auckland,Visiting friends / relatives,20 - 24,103632638,26777
2284,2007,4,YEDec 2007,Auckland,Visiting friends / relatives,25 - 29,177324567.8,39387
2285,2007,4,YEDec 2007,Auckland,Visiting friends / relatives,30 - 34,174244339.5,44551
2286,2007,4,YEDec 2007,Auckland,Visiting friends / relatives,35 - 39,180485049.9,51383
2287,2007,4,YEDec 2007,Auckland,Visiting friends / relatives,40 - 44,229140401.7,54321
2288,2007,4,YEDec 2007,Auckland,Visiting friends / relatives,45 - 49,203955928.9,46587
2289,2007,4,YEDec 2007,Auckland,Visiting friends / relatives,50 - 54,185731110.3,50555
2290,2007,4,YEDec 2007,Auckland,Visiting friends / relatives,55 - 59,239593895.4,57470
2291,2007,4,YEDec 2007,Auckland,Visiting friends / relatives,60 - 64,172499131.7,44536
2292,2007,4,YEDec 2007,Auckland,Visiting friends / relatives,65 - 69,148942387.7,37790
2293,2007,4,YEDec 2007,Auckland,Visiting friends / relatives,70 - 74,98338539.34,17409
2294,2007,4,YEDec 2007,Auckland,Visiting friends / relatives,75 or older,49385933.33,13629
2295,2007,4,YEDec 2007,Auckland,Visiting friends / relatives,Rather not say,,
2296,2007,4,YEDec 2007,Auckland,Visiting friends / relatives,Under 20,37415216,14238
2297,2007,4,YEDec 2007,Christchurch,Business,20 - 24,1578637.58,1024
2298,2007,4,YEDec 2007,Christchurch,Business,25 - 29,7361256.49,3766
2299,2007,4,YEDec 2007,Christchurch,Business,30 - 34,8884206.02,3658
2300,2007,4,YEDec 2007,Christchurch,Business,35 - 39,8866251.05,5350
2301,2007,4,YEDec 2007,Christchurch,Business,40 - 44,10987726.12,3264
2302,2007,4,YEDec 2007,Christchurch,Business,45 - 49,4943986.22,2582
2303,2007,4,YEDec 2007,Christchurch,Business,50 - 54,5221198.33,2770
2304,2007,4,YEDec 2007,Christchurch,Business,55 - 59,1967649.84,749
2305,2007,4,YEDec 2007,Christchurch,Business,60 - 64,657560.86,192
2306,2007,4,YEDec 2007,Christchurch,Business,65 - 69,3779463.28,2283
2307,2007,4,YEDec 2007,Christchurch,Business,70 - 74,43591.28,97
2308,2007,4,YEDec 2007,Christchurch,Business,75 or older,1027756.7,314
2309,2007,4,YEDec 2007,Christchurch,Business,Rather not say,,
2310,2007,4,YEDec 2007,Christchurch,Business,Under 20,,
2311,2007,4,YEDec 2007,Christchurch,Holiday / vacation,20 - 24,150878165.5,49518
2312,2007,4,YEDec 2007,Christchurch,Holiday / vacation,25 - 29,156105155.7,47132
2313,2007,4,YEDec 2007,Christchurch,Holiday / vacation,30 - 34,97771959.65,31424
2314,2007,4,YEDec 2007,Christchurch,Holiday / vacation,35 - 39,73816489.44,21597
2315,2007,4,YEDec 2007,Christchurch,Holiday / vacation,40 - 44,73108938.34,21076
2316,2007,4,YEDec 2007,Christchurch,Holiday / vacation,45 - 49,119749505.4,32704
2317,2007,4,YEDec 2007,Christchurch,Holiday / vacation,50 - 54,89469113.13,32802
2318,2007,4,YEDec 2007,Christchurch,Holiday / vacation,55 - 59,145969604.6,35840
2319,2007,4,YEDec 2007,Christchurch,Holiday / vacation,60 - 64,144998351.9,37602
2320,2007,4,YEDec 2007,Christchurch,Holiday / vacation,65 - 69,120517786.9,25126
2321,2007,4,YEDec 2007,Christchurch,Holiday / vacation,70 - 74,35714832.58,8390
2322,2007,4,YEDec 2007,Christchurch,Holiday / vacation,75 or older,33209053.62,6701
2323,2007,4,YEDec 2007,Christchurch,Holiday / vacation,Rather not say,1126509.77,476
2324,2007,4,YEDec 2007,Christchurch,Holiday / vacation,Under 20,16487591.18,7728
2325,2007,4,YEDec 2007,Christchurch,Other,20 - 24,4599183.55,1303
2326,2007,4,YEDec 2007,Christchurch,Other,25 - 29,11143161.28,5070
2327,2007,4,YEDec 2007,Christchurch,Other,30 - 34,9608516.31,1658
2328,2007,4,YEDec 2007,Christchurch,Other,35 - 39,24439145.3,5331
2329,2007,4,YEDec 2007,Christchurch,Other,40 - 44,4176261.03,1908
2330,2007,4,YEDec 2007,Christchurch,Other,45 - 49,4405749.21,1013
2331,2007,4,YEDec 2007,Christchurch,Other,50 - 54,12463581.92,6244
2332,2007,4,YEDec 2007,Christchurch,Other,55 - 59,4579713.37,1875
2333,2007,4,YEDec 2007,Christchurch,Other,60 - 64,6448186.49,1807
2334,2007,4,YEDec 2007,Christchurch,Other,65 - 69,,
2335,2007,4,YEDec 2007,Christchurch,Other,70 - 74,,
2336,2007,4,YEDec 2007,Christchurch,Other,75 or older,,
2337,2007,4,YEDec 2007,Christchurch,Other,Rather not say,,
2338,2007,4,YEDec 2007,Christchurch,Other,Under 20,1720758.12,90
2339,2007,4,YEDec 2007,Christchurch,Visiting friends / relatives,20 - 24,16050063.24,7024
2340,2007,4,YEDec 2007,Christchurch,Visiting friends / relatives,25 - 29,23815170.43,9018
2341,2007,4,YEDec 2007,Christchurch,Visiting friends / relatives,30 - 34,8303862.81,6036
2342,2007,4,YEDec 2007,Christchurch,Visiting friends / relatives,35 - 39,17364241.73,6398
2343,2007,4,YEDec 2007,Christchurch,Visiting friends / relatives,40 - 44,19262546.52,10531
2344,2007,4,YEDec 2007,Christchurch,Visiting friends / relatives,45 - 49,20887537.24,6063
2345,2007,4,YEDec 2007,Christchurch,Visiting friends / relatives,50 - 54,27130584.71,14497
2346,2007,4,YEDec 2007,Christchurch,Visiting friends / relatives,55 - 59,27944935.87,6308
2347,2007,4,YEDec 2007,Christchurch,Visiting friends / relatives,60 - 64,30746748.26,7048
2348,2007,4,YEDec 2007,Christchurch,Visiting friends / relatives,65 - 69,11875177.97,4741
2349,2007,4,YEDec 2007,Christchurch,Visiting friends / relatives,70 - 74,12589704.86,2002
2350,2007,4,YEDec 2007,Christchurch,Visiting friends / relatives,75 or older,6808674.3,1347
2351,2007,4,YEDec 2007,Christchurch,Visiting friends / relatives,Rather not say,,
2352,2007,4,YEDec 2007,Christchurch,Visiting friends / relatives,Under 20,7138802.04,4216
2353,2007,4,YEDec 2007,Queenstown,Business,20 - 24,,
2354,2007,4,YEDec 2007,Queenstown,Business,25 - 29,,
2355,2007,4,YEDec 2007,Queenstown,Business,30 - 34,,
2356,2007,4,YEDec 2007,Queenstown,Business,35 - 39,,
2357,2007,4,YEDec 2007,Queenstown,Business,40 - 44,,
2358,2007,4,YEDec 2007,Queenstown,Business,45 - 49,,
2359,2007,4,YEDec 2007,Queenstown,Business,50 - 54,,
2360,2007,4,YEDec 2007,Queenstown,Business,55 - 59,,
2361,2007,4,YEDec 2007,Queenstown,Business,60 - 64,,
2362,2007,4,YEDec 2007,Queenstown,Business,65 - 69,,
2363,2007,4,YEDec 2007,Queenstown,Business,70 - 74,,
2364,2007,4,YEDec 2007,Queenstown,Business,75 or older,,
2365,2007,4,YEDec 2007,Queenstown,Business,Rather not say,,
2366,2007,4,YEDec 2007,Queenstown,Business,Under 20,,
2367,2007,4,YEDec 2007,Queenstown,Holiday / vacation,20 - 24,,
2368,2007,4,YEDec 2007,Queenstown,Holiday / vacation,25 - 29,,
2369,2007,4,YEDec 2007,Queenstown,Holiday / vacation,30 - 34,,
2370,2007,4,YEDec 2007,Queenstown,Holiday / vacation,35 - 39,,
2371,2007,4,YEDec 2007,Queenstown,Holiday / vacation,40 - 44,,
2372,2007,4,YEDec 2007,Queenstown,Holiday / vacation,45 - 49,,
2373,2007,4,YEDec 2007,Queenstown,Holiday / vacation,50 - 54,,
2374,2007,4,YEDec 2007,Queenstown,Holiday / vacation,55 - 59,,
2375,2007,4,YEDec 2007,Queenstown,Holiday / vacation,60 - 64,,
2376,2007,4,YEDec 2007,Queenstown,Holiday / vacation,65 - 69,,
2377,2007,4,YEDec 2007,Queenstown,Holiday / vacation,70 - 74,,
2378,2007,4,YEDec 2007,Queenstown,Holiday / vacation,75 or older,,
2379,2007,4,YEDec 2007,Queenstown,Holiday / vacation,Rather not say,,
2380,2007,4,YEDec 2007,Queenstown,Holiday / vacation,Under 20,,
2381,2007,4,YEDec 2007,Queenstown,Other,20 - 24,,
2382,2007,4,YEDec 2007,Queenstown,Other,25 - 29,,
2383,2007,4,YEDec 2007,Queenstown,Other,30 - 34,,
2384,2007,4,YEDec 2007,Queenstown,Other,35 - 39,,
2385,2007,4,YEDec 2007,Queenstown,Other,40 - 44,,
2386,2007,4,YEDec 2007,Queenstown,Other,45 - 49,,
2387,2007,4,YEDec 2007,Queenstown,Other,50 - 54,,
2388,2007,4,YEDec 2007,Queenstown,Other,55 - 59,,
2389,2007,4,YEDec 2007,Queenstown,Other,60 - 64,,
2390,2007,4,YEDec 2007,Queenstown,Other,65 - 69,,
2391,2007,4,YEDec 2007,Queenstown,Other,70 - 74,,
2392,2007,4,YEDec 2007,Queenstown,Other,75 or older,,
2393,2007,4,YEDec 2007,Queenstown,Other,Rather not say,,
2394,2007,4,YEDec 2007,Queenstown,Other,Under 20,,
2395,2007,4,YEDec 2007,Queenstown,Visiting friends / relatives,20 - 24,,
2396,2007,4,YEDec 2007,Queenstown,Visiting friends / relatives,25 - 29,,
2397,2007,4,YEDec 2007,Queenstown,Visiting friends / relatives,30 - 34,,
2398,2007,4,YEDec 2007,Queenstown,Visiting friends / relatives,35 - 39,,
2399,2007,4,YEDec 2007,Queenstown,Visiting friends / relatives,40 - 44,,
2400,2007,4,YEDec 2007,Queenstown,Visiting friends / relatives,45 - 49,,
2401,2007,4,YEDec 2007,Queenstown,Visiting friends / relatives,50 - 54,,
2402,2007,4,YEDec 2007,Queenstown,Visiting friends / relatives,55 - 59,,
2403,2007,4,YEDec 2007,Queenstown,Visiting friends / relatives,60 - 64,,
2404,2007,4,YEDec 2007,Queenstown,Visiting friends / relatives,65 - 69,,
2405,2007,4,YEDec 2007,Queenstown,Visiting friends / relatives,70 - 74,,
2406,2007,4,YEDec 2007,Queenstown,Visiting friends / relatives,75 or older,,
2407,2007,4,YEDec 2007,Queenstown,Visiting friends / relatives,Rather not say,,
2408,2007,4,YEDec 2007,Queenstown,Visiting friends / relatives,Under 20,,
2409,2007,4,YEDec 2007,Wellington,Business,20 - 24,558349.23,915
2410,2007,4,YEDec 2007,Wellington,Business,25 - 29,9134431.27,3382
2411,2007,4,YEDec 2007,Wellington,Business,30 - 34,17196349.53,4778
2412,2007,4,YEDec 2007,Wellington,Business,35 - 39,11377334.47,3792
2413,2007,4,YEDec 2007,Wellington,Business,40 - 44,11101171.42,4788
2414,2007,4,YEDec 2007,Wellington,Business,45 - 49,7534447.45,5564
2415,2007,4,YEDec 2007,Wellington,Business,50 - 54,5936796.76,4054
2416,2007,4,YEDec 2007,Wellington,Business,55 - 59,6291430.79,2010
2417,2007,4,YEDec 2007,Wellington,Business,60 - 64,2593608.32,2237
2418,2007,4,YEDec 2007,Wellington,Business,65 - 69,50315.99,89
2419,2007,4,YEDec 2007,Wellington,Business,70 - 74,,
2420,2007,4,YEDec 2007,Wellington,Business,75 or older,,
2421,2007,4,YEDec 2007,Wellington,Business,Rather not say,,
2422,2007,4,YEDec 2007,Wellington,Business,Under 20,,
2423,2007,4,YEDec 2007,Wellington,Holiday / vacation,20 - 24,7711751.39,4253
2424,2007,4,YEDec 2007,Wellington,Holiday / vacation,25 - 29,12726413.61,6103
2425,2007,4,YEDec 2007,Wellington,Holiday / vacation,30 - 34,11843480.84,3079
2426,2007,4,YEDec 2007,Wellington,Holiday / vacation,35 - 39,38914771.16,5901
2427,2007,4,YEDec 2007,Wellington,Holiday / vacation,40 - 44,7519339.71,1945
2428,2007,4,YEDec 2007,Wellington,Holiday / vacation,45 - 49,8771170.12,3071
2429,2007,4,YEDec 2007,Wellington,Holiday / vacation,50 - 54,12175376.15,4152
2430,2007,4,YEDec 2007,Wellington,Holiday / vacation,55 - 59,7986523.44,2280
2431,2007,4,YEDec 2007,Wellington,Holiday / vacation,60 - 64,10250213.24,2282
2432,2007,4,YEDec 2007,Wellington,Holiday / vacation,65 - 69,11019963.79,1960
2433,2007,4,YEDec 2007,Wellington,Holiday / vacation,70 - 74,5541765.61,1970
2434,2007,4,YEDec 2007,Wellington,Holiday / vacation,75 or older,,
2435,2007,4,YEDec 2007,Wellington,Holiday / vacation,Rather not say,,
2436,2007,4,YEDec 2007,Wellington,Holiday / vacation,Under 20,4469369.83,2081
2437,2007,4,YEDec 2007,Wellington,Other,20 - 24,3525338.61,467
2438,2007,4,YEDec 2007,Wellington,Other,25 - 29,5851376.96,1387
2439,2007,4,YEDec 2007,Wellington,Other,30 - 34,13955124.51,2756
2440,2007,4,YEDec 2007,Wellington,Other,35 - 39,1001814.19,890
2441,2007,4,YEDec 2007,Wellington,Other,40 - 44,2590185.22,1086
2442,2007,4,YEDec 2007,Wellington,Other,45 - 49,942591.15,661
2443,2007,4,YEDec 2007,Wellington,Other,50 - 54,15666847.98,3487
2444,2007,4,YEDec 2007,Wellington,Other,55 - 59,1987310.17,1439
2445,2007,4,YEDec 2007,Wellington,Other,60 - 64,3549519.12,1369
2446,2007,4,YEDec 2007,Wellington,Other,65 - 69,1383057.88,1389
2447,2007,4,YEDec 2007,Wellington,Other,70 - 74,,
2448,2007,4,YEDec 2007,Wellington,Other,75 or older,,
2449,2007,4,YEDec 2007,Wellington,Other,Rather not say,,
2450,2007,4,YEDec 2007,Wellington,Other,Under 20,818353.48,1437
2451,2007,4,YEDec 2007,Wellington,Visiting friends / relatives,20 - 24,4519491.59,1900
2452,2007,4,YEDec 2007,Wellington,Visiting friends / relatives,25 - 29,10903968.08,6464
2453,2007,4,YEDec 2007,Wellington,Visiting friends / relatives,30 - 34,14169107.96,4565
2454,2007,4,YEDec 2007,Wellington,Visiting friends / relatives,35 - 39,6017341.97,3837
2455,2007,4,YEDec 2007,Wellington,Visiting friends / relatives,40 - 44,8929108.67,4571
2456,2007,4,YEDec 2007,Wellington,Visiting friends / relatives,45 - 49,19293634.55,4960
2457,2007,4,YEDec 2007,Wellington,Visiting friends / relatives,50 - 54,13052389.93,5250
2458,2007,4,YEDec 2007,Wellington,Visiting friends / relatives,55 - 59,12335348.39,4244
2459,2007,4,YEDec 2007,Wellington,Visiting friends / relatives,60 - 64,9261070.45,3257
2460,2007,4,YEDec 2007,Wellington,Visiting friends / relatives,65 - 69,6737760.15,3087
2461,2007,4,YEDec 2007,Wellington,Visiting friends / relatives,70 - 74,2382551.43,878
2462,2007,4,YEDec 2007,Wellington,Visiting friends / relatives,75 or older,3605311.38,1824
2463,2007,4,YEDec 2007,Wellington,Visiting friends / relatives,Rather not say,,
2464,2007,4,YEDec 2007,Wellington,Visiting friends / relatives,Under 20,9379486.32,2482
2465,2008,4,YEDec 2008,Auckland,Business,20 - 24,36221517.52,10227
2466,2008,4,YEDec 2008,Auckland,Business,25 - 29,60953016.75,22063
2467,2008,4,YEDec 2008,Auckland,Business,30 - 34,68332046.36,29631
2468,2008,4,YEDec 2008,Auckland,Business,35 - 39,77300156.85,33628
2469,2008,4,YEDec 2008,Auckland,Business,40 - 44,70021946.85,30309
2470,2008,4,YEDec 2008,Auckland,Business,45 - 49,118808455.9,38611
2471,2008,4,YEDec 2008,Auckland,Business,50 - 54,87601165.58,32526
2472,2008,4,YEDec 2008,Auckland,Business,55 - 59,85078172.13,26143
2473,2008,4,YEDec 2008,Auckland,Business,60 - 64,12216898.32,6500
2474,2008,4,YEDec 2008,Auckland,Business,65 - 69,8631425.13,5317
2475,2008,4,YEDec 2008,Auckland,Business,70 - 74,,
2476,2008,4,YEDec 2008,Auckland,Business,75 or older,,
2477,2008,4,YEDec 2008,Auckland,Business,Rather not say,,
2478,2008,4,YEDec 2008,Auckland,Business,Under 20,1805632.26,2278
